phase,weights,kv,attention_compute,prefill_backend,decode_backend,gpus,graph,calibration,accuracy,correct,samples,tps,generated_tokens,nfe,generation_seconds,tokens_per_forward,forwards_per_second,per_gpu_tps,peak_device_gib,eos_missing,status,name,source_result
previous,bf16,bf16,bf16,fa3,fa3,4,False,none,0.9636087945413192,1271,1319,139.65068087453656,365505,59305,2617.2804723263253,6.163139701542872,22.659015962201316,34.91267021863414,65.4296875,9,passed,bf16-bf16-none-4gpu-eager,runs/gsm8k-kv-calibration/measurements/bf16-bf16-none-4gpu-eager/result.json
previous,bf16,bf16,bf16,fa3,fa2,4,True,none,0.9613343442001516,1268,1319,223.32058672017175,375383,68742,1680.915340198204,5.460751796572692,40.895575378528186,55.83014668004294,63.607421875,14,passed,bf16-bf16-none-4gpu-graph,runs/gsm8k-kv-calibration/measurements/bf16-bf16-none-4gpu-graph/result.json
previous,fp8,bf16,bf16,fa3,fa3,2,False,none,0.9575435936315391,1263,1319,101.61952540757697,365521,60704,3596.9563775658607,6.021365972588297,16.876490462494775,50.809762703788486,67.228515625,9,passed,fp8-bf16-none-2gpu-eager,runs/gsm8k-kv-calibration/measurements/fp8-bf16-none-2gpu-eager/result.json
previous,fp8,bf16,bf16,fa3,fa2,2,True,none,0.9598180439727066,1266,1319,271.0304254020061,372233,67155,1373.399312818423,5.54289330652967,48.89692267443166,135.51521270100304,66.357421875,14,passed,fp8-bf16-none-2gpu-graph,runs/gsm8k-kv-calibration/measurements/fp8-bf16-none-2gpu-graph/result.json
previous,fp8,bf16,bf16,fa3,fa3,4,False,none,0.9583017437452616,1264,1319,113.92154710455291,367673,60850,3227.4228128464893,6.042284305669679,18.854052762405846,28.48038677613823,39.806640625,10,passed,fp8-bf16-none-4gpu-eager,runs/gsm8k-kv-calibration/measurements/fp8-bf16-none-4gpu-eager/result.json
previous,fp8,bf16,bf16,fa3,fa2,4,True,none,0.9620924943138741,1269,1319,360.23289146749283,368176,63936,1022.0499258136842,5.758508508508508,62.556630928864514,90.05822286687321,38.921875,10,passed,fp8-bf16-none-4gpu-graph,runs/gsm8k-kv-calibration/measurements/fp8-bf16-none-4gpu-graph/result.json
previous,fp8,fp8_e4m3,bf16,fa2,fa2,2,False,ultrachat,0.9605761940864291,1267,1319,97.0061112362749,368020,62333,3793.78160107485,5.904095743827507,16.430307949814477,48.50305561813745,67.005859375,10,passed,fp8-fp8_e4m3-ultrachat-2gpu-eager,runs/gsm8k-kv-calibration/measurements/fp8-fp8_e4m3-ultrachat-2gpu-eager/result.json
previous,fp8,fp8_e4m3,bf16,fa2,fa2,2,True,ultrachat,0.9605761940864291,1267,1319,145.52496507233124,377093,71874,2591.2598557407036,5.246584300303309,27.737086977506173,72.76248253616562,63.634765625,12,passed,fp8-fp8_e4m3-ultrachat-2gpu-graph,runs/gsm8k-kv-calibration/measurements/fp8-fp8_e4m3-ultrachat-2gpu-graph/result.json
previous,fp8,fp8_e4m3,bf16,fa2,fa2,4,False,ultrachat,0.9651250947687642,1273,1319,93.40169301468065,370416,65225,3965.8381774919108,5.679049444231507,16.44671241761302,23.35042325367016,39.0546875,9,passed,fp8-fp8_e4m3-ultrachat-4gpu-eager,runs/gsm8k-kv-calibration/measurements/fp8-fp8_e4m3-ultrachat-4gpu-eager/result.json
previous,fp8,fp8_e4m3,bf16,fa2,fa2,4,True,ultrachat,0.9583017437452616,1264,1319,169.41108135627888,372826,67453,2200.7179047274403,5.527196714749529,30.650452679601422,42.35277033906972,38.240234375,15,passed,fp8-fp8_e4m3-ultrachat-4gpu-graph,runs/gsm8k-kv-calibration/measurements/fp8-fp8_e4m3-ultrachat-4gpu-graph/result.json
current,fp8,fp8_e4m3,fp8,fa3,fa3,2,False,ultrachat,0.9613343442001516,1268,1319,94.25222727708459,367806,62066,3902.358709452208,5.926046466664518,15.904739830724708,47.12611363854229,67.005859375,7,passed,fp8-kv-fp8_e4m3-attn-fp8-fa3-2gpu-eager,runs/fa3-gsm8k/measurements/fp8-kv-fp8_e4m3-attn-fp8-fa3-2gpu-eager/result.json
current,fp8,fp8_e4m3,fp8,fa3,fa3,2,True,ultrachat,0.9628506444275967,1270,1319,297.0492660366465,368632,65837,1240.9793328845408,5.599161565684949,53.05245482772709,148.52463301832324,63.634765625,12,passed,fp8-kv-fp8_e4m3-attn-fp8-fa3-2gpu-graph,runs/fa3-gsm8k/measurements/fp8-kv-fp8_e4m3-attn-fp8-fa3-2gpu-graph/result.json
current,fp8,fp8_e4m3,fp8,fa3,fa3,4,False,ultrachat,0.9598180439727066,1266,1319,85.41328868422258,382873,70642,4482.592883356847,5.419906004926248,15.75918265124689,21.353322171055645,39.0546875,17,passed,fp8-kv-fp8_e4m3-attn-fp8-fa3-4gpu-eager,runs/fa3-gsm8k/measurements/fp8-kv-fp8_e4m3-attn-fp8-fa3-4gpu-eager/result.json
current,fp8,fp8_e4m3,fp8,fa3,fa3,4,True,ultrachat,0.9620924943138741,1269,1319,358.70876787187456,384971,74848,1073.2132428318728,5.143370564343737,69.74196460947465,89.67719196796864,38.240234375,20,passed,fp8-kv-fp8_e4m3-attn-fp8-fa3-4gpu-graph,runs/fa3-gsm8k/measurements/fp8-kv-fp8_e4m3-attn-fp8-fa3-4gpu-graph/result.json
current,bf16,bf16,bf16,fa3,fa3,4,False,none,0.9636087945413192,1271,1319,121.96708647153443,365505,59305,2996.7510955121834,6.163139701542872,19.78976501879413,30.491771617883607,66.328125,9,passed,bf16-kv-bf16-attn-bf16-fa3-4gpu-eager,runs/fa3-gsm8k/measurements/bf16-kv-bf16-attn-bf16-fa3-4gpu-eager/result.json
current,bf16,bf16,bf16,fa3,fa3,4,True,none,0.9628506444275967,1270,1319,246.49946845820958,367942,64204,1492.6685331265908,5.730826739766993,43.012898426629434,61.624867114552394,63.26953125,10,passed,bf16-kv-bf16-attn-bf16-fa3-4gpu-graph,runs/fa3-gsm8k/measurements/bf16-kv-bf16-attn-bf16-fa3-4gpu-graph/result.json
current,bf16,fp8_e4m3,fp8,fa3,fa3,4,False,ultrachat,0.959059893858984,1265,1319,107.4293659178919,369357,62950,3438.1381370369345,5.86746624305004,18.309328331482266,26.857341479472975,64.673828125,9,passed,bf16-kv-fp8_e4m3-attn-fp8-fa3-4gpu-eager,runs/fa3-gsm8k/measurements/bf16-kv-fp8_e4m3-attn-fp8-fa3-4gpu-eager/result.json
current,bf16,fp8_e4m3,fp8,fa3,fa3,4,True,ultrachat,0.9628506444275967,1270,1319,249.9424403570378,372467,68870,1490.2111040763557,5.408261942790765,46.21492875177987,62.48561008925945,62.884765625,12,passed,bf16-kv-fp8_e4m3-attn-fp8-fa3-4gpu-graph,runs/fa3-gsm8k/measurements/bf16-kv-fp8_e4m3-attn-fp8-fa3-4gpu-graph/result.json
current,bf16,bf16,bf16,fa2,fa2,4,False,none,0.9598180439727066,1266,1319,116.40811262384243,374353,65181,3215.8669319695327,5.743284085853239,20.268562530378208,29.102028155960607,66.328125,13,passed,bf16-kv-bf16-attn-bf16-fa2-4gpu-eager,runs/fa3-gsm8k/measurements/bf16-kv-bf16-attn-bf16-fa2-4gpu-eager/result.json
current,bf16,bf16,bf16,fa2,fa2,4,True,none,0.9583017437452616,1264,1319,230.5536571866116,371616,66344,1611.8417054612655,5.60135053659713,41.160369393106215,57.6384142966529,63.267578125,14,passed,bf16-kv-bf16-attn-bf16-fa2-4gpu-graph,runs/fa3-gsm8k/measurements/bf16-kv-bf16-attn-bf16-fa2-4gpu-graph/result.json
