weights,kv,attention_compute,kernel_backend,gpus,graph,calibration,name,status,accuracy,correct,samples,tps,generated_tokens,nfe,generation_seconds,eos_missing,tokens_per_forward,forwards_per_second,per_gpu_tps,peak_device_gib
fp8,fp8_e4m3,fp8,fa3,2,False,ultrachat,fp8-kv-fp8_e4m3-attn-fp8-fa3-2gpu-eager,passed,0.9613343442001516,1268,1319,94.25222727708459,367806,62066,3902.358709452208,7,5.926046466664518,15.904739830724708,47.12611363854229,67.005859375
fp8,fp8_e4m3,fp8,fa3,2,True,ultrachat,fp8-kv-fp8_e4m3-attn-fp8-fa3-2gpu-graph,passed,0.9628506444275967,1270,1319,297.0492660366465,368632,65837,1240.9793328845408,12,5.599161565684949,53.05245482772709,148.52463301832324,63.634765625
fp8,fp8_e4m3,fp8,fa3,4,False,ultrachat,fp8-kv-fp8_e4m3-attn-fp8-fa3-4gpu-eager,passed,0.9598180439727066,1266,1319,85.41328868422258,382873,70642,4482.592883356847,17,5.419906004926248,15.75918265124689,21.353322171055645,39.0546875
fp8,fp8_e4m3,fp8,fa3,4,True,ultrachat,fp8-kv-fp8_e4m3-attn-fp8-fa3-4gpu-graph,passed,0.9620924943138741,1269,1319,358.70876787187456,384971,74848,1073.2132428318728,20,5.143370564343737,69.74196460947465,89.67719196796864,38.240234375
bf16,bf16,bf16,fa3,4,False,none,bf16-kv-bf16-attn-bf16-fa3-4gpu-eager,passed,0.9636087945413192,1271,1319,121.96708647153443,365505,59305,2996.7510955121834,9,6.163139701542872,19.78976501879413,30.491771617883607,66.328125
bf16,bf16,bf16,fa3,4,True,none,bf16-kv-bf16-attn-bf16-fa3-4gpu-graph,passed,0.9628506444275967,1270,1319,246.49946845820958,367942,64204,1492.6685331265908,10,5.730826739766993,43.012898426629434,61.624867114552394,63.26953125
bf16,fp8_e4m3,fp8,fa3,4,False,ultrachat,bf16-kv-fp8_e4m3-attn-fp8-fa3-4gpu-eager,passed,0.959059893858984,1265,1319,107.4293659178919,369357,62950,3438.1381370369345,9,5.86746624305004,18.309328331482266,26.857341479472975,64.673828125
bf16,fp8_e4m3,fp8,fa3,4,True,ultrachat,bf16-kv-fp8_e4m3-attn-fp8-fa3-4gpu-graph,passed,0.9628506444275967,1270,1319,249.9424403570378,372467,68870,1490.2111040763557,12,5.408261942790765,46.21492875177987,62.48561008925945,62.884765625
bf16,bf16,bf16,fa2,4,False,none,bf16-kv-bf16-attn-bf16-fa2-4gpu-eager,passed,0.9598180439727066,1266,1319,116.40811262384243,374353,65181,3215.8669319695327,13,5.743284085853239,20.268562530378208,29.102028155960607,66.328125
bf16,bf16,bf16,fa2,4,True,none,bf16-kv-bf16-attn-bf16-fa2-4gpu-graph,passed,0.9583017437452616,1264,1319,230.5536571866116,371616,66344,1611.8417054612655,14,5.60135053659713,41.160369393106215,57.6384142966529,63.267578125
