comparison,baseline,candidate,accuracy_delta_pp,tps_ratio,nfe_ratio,tokens_ratio,gained,lost,changed_outputs,mcnemar_exact_p_unadjusted,scaling_efficiency
weight_quantization,bf16-bf16-none-4gpu-eager,fp8-bf16-none-4gpu-eager,-0.5307050796057644,0.8157607710262513,1.0260517662928927,1.0059315194046594,10,17,1171,0.24778856337070465,
calibration_data_gsm8k_vs_ultrachat,fp8-fp8_e4m3-ultrachat-2gpu-eager,fp8-fp8_e4m3-gsm8k-train-2gpu-eager,0.22744503411675776,0.9751861570398767,1.0473264562912101,1.0184174773110157,9,6,1242,0.60723876953125,
kv_quantization,fp8-bf16-none-2gpu-eager,fp8-fp8_e4m3-ultrachat-2gpu-eager,0.30326004548900665,0.9546011049274387,1.0268351344227729,1.00683681648934,13,9,1226,0.5234670639038086,
kv_quantization,fp8-bf16-none-2gpu-eager,fp8-fp8_e4m3-gsm8k-train-2gpu-eager,0.5307050796057644,0.930913783020209,1.075431602530311,1.0253802107129275,13,6,1210,0.1670684814453125,
calibration_data_gsm8k_vs_ultrachat,fp8-fp8_e4m3-ultrachat-4gpu-eager,fp8-fp8_e4m3-gsm8k-train-4gpu-eager,-0.5307050796057533,1.010950238766496,0.9916749712533538,1.014834672368364,7,14,1232,0.18924713134765625,
kv_quantization,fp8-bf16-none-4gpu-eager,fp8-fp8_e4m3-ultrachat-4gpu-eager,0.6823351023502622,0.8198773224959812,1.0718981101068201,1.0074604335918058,18,9,1219,0.12207812070846558,
kv_quantization,fp8-bf16-none-4gpu-eager,fp8-fp8_e4m3-gsm8k-train-4gpu-eager,0.15163002274450887,0.8288551749365477,1.062974527526705,1.0224057790482304,13,11,1229,0.8388197422027588,
joint_quantization,bf16-bf16-none-4gpu-eager,fp8-fp8_e4m3-ultrachat-4gpu-eager,0.15163002274449777,0.6688237567462602,1.0998229491611162,1.013436204703082,14,12,1235,0.8450189828872681,
gpu_scaling,fp8-fp8_e4m3-ultrachat-2gpu-eager,fp8-fp8_e4m3-ultrachat-4gpu-eager,0.4548900682335044,0.962843390218838,1.0463959700319254,1.0065105157328407,12,6,1185,0.237884521484375,0.481421695109419
joint_quantization,bf16-bf16-none-4gpu-eager,fp8-fp8_e4m3-gsm8k-train-4gpu-eager,-0.37907505686125553,0.6761475365753365,1.0906668914931288,1.0284701987660907,10,15,1236,0.42435622215270996,
gpu_scaling,fp8-fp8_e4m3-gsm8k-train-2gpu-eager,fp8-fp8_e4m3-gsm8k-train-4gpu-eager,-0.30326004548900665,0.9981548119911158,0.9907939279751237,1.002969599624331,8,12,1210,0.5034446716308594,0.4990774059955579
gpu_scaling,fp8-bf16-none-2gpu-eager,fp8-bf16-none-4gpu-eager,0.07581501137224889,1.1210596255752507,1.0024051133368477,1.0058874866286753,12,11,1167,1.0,0.5605298127876254
weight_quantization,bf16-bf16-none-4gpu-graph,fp8-bf16-none-4gpu-graph,0.07581501137224889,1.6130751613995928,0.9300864100549883,0.9808009419712667,11,10,1173,1.0,
