weights,kv,calibration,gpus,graph,name,status,accuracy,correct,samples,tps,generated_tokens,nfe,generation_seconds,eos_missing,tokens_per_forward,per_gpu_tps,peak_device_gib
bf16,bf16,none,4,False,bf16-bf16-none-4gpu-eager,passed,0.9636087945413192,1271,1319,139.65068087453656,365505,59305,2617.2804723263253,9,6.163139701542872,34.91267021863414,65.4296875
bf16,bf16,none,4,True,bf16-bf16-none-4gpu-graph,passed,0.9613343442001516,1268,1319,223.32058672017175,375383,68742,1680.915340198204,14,5.460751796572692,55.83014668004294,63.607421875
fp8,bf16,none,2,False,fp8-bf16-none-2gpu-eager,passed,0.9575435936315391,1263,1319,101.61952540757697,365521,60704,3596.9563775658607,9,6.021365972588297,50.809762703788486,67.228515625
fp8,bf16,none,2,True,fp8-bf16-none-2gpu-graph,passed,0.9598180439727066,1266,1319,271.0304254020061,372233,67155,1373.399312818423,14,5.54289330652967,135.51521270100304,66.357421875
fp8,bf16,none,4,False,fp8-bf16-none-4gpu-eager,passed,0.9583017437452616,1264,1319,113.92154710455291,367673,60850,3227.4228128464893,10,6.042284305669679,28.48038677613823,39.806640625
fp8,bf16,none,4,True,fp8-bf16-none-4gpu-graph,passed,0.9620924943138741,1269,1319,360.23289146749283,368176,63936,1022.0499258136842,10,5.758508508508508,90.05822286687321,38.921875
fp8,fp8_e4m3,ultrachat,2,False,fp8-fp8_e4m3-ultrachat-2gpu-eager,passed,0.9605761940864291,1267,1319,97.0061112362749,368020,62333,3793.78160107485,10,5.904095743827507,48.50305561813745,67.005859375
fp8,fp8_e4m3,ultrachat,2,True,fp8-fp8_e4m3-ultrachat-2gpu-graph,passed,0.9605761940864291,1267,1319,145.52496507233124,377093,71874,2591.2598557407036,12,5.246584300303309,72.76248253616562,63.634765625
fp8,fp8_e4m3,ultrachat,4,False,fp8-fp8_e4m3-ultrachat-4gpu-eager,passed,0.9651250947687642,1273,1319,93.40169301468065,370416,65225,3965.8381774919108,9,5.679049444231507,23.35042325367016,39.0546875
fp8,fp8_e4m3,ultrachat,4,True,fp8-fp8_e4m3-ultrachat-4gpu-graph,passed,0.9583017437452616,1264,1319,169.41108135627888,372826,67453,2200.7179047274403,15,5.527196714749529,42.35277033906972,38.240234375
fp8,fp8_e4m3,gsm8k-train,2,False,fp8-fp8_e4m3-gsm8k-train-2gpu-eager,passed,0.9628506444275967,1270,1319,94.59901682588573,374798,65283,3961.9650666119996,12,5.741127092811299,47.29950841294286,67.005859375
fp8,fp8_e4m3,gsm8k-train,2,True,fp8-fp8_e4m3-gsm8k-train-2gpu-graph,passed,0.9643669446550417,1272,1319,151.30141895603336,376913,68652,2491.1398888435215,12,5.490196935267727,75.65070947801668,63.634765625
fp8,fp8_e4m3,gsm8k-train,4,False,fp8-fp8_e4m3-gsm8k-train-4gpu-eager,passed,0.9598180439727066,1266,1319,94.42446385438636,375911,64682,3981.0763509306125,9,5.811678674128815,23.60611596359659,39.0546875
fp8,fp8_e4m3,gsm8k-train,4,True,fp8-fp8_e4m3-gsm8k-train-4gpu-graph,passed,0.9583017437452616,1264,1319,173.56658831187153,376608,65994,2169.818532834761,10,5.706700609146286,43.39164707796788,38.240234375
