label,numerator,denominator,status,speedup,numerator_tokens,denominator_tokens,numerator_nfe,denominator_nfe,efficiency
model_quantization,fp8-bf16-4gpu-eager,bf16-bf16-4gpu-eager,complete,1.015867952486529,"[425, 425, 425, 425, 425]","[400, 400, 400, 400, 400]","[44, 44, 44, 44, 44]","[51, 51, 51, 51, 51]",
joint_quantization,fp8-fp8_e4m3-4gpu-eager,bf16-bf16-4gpu-eager,complete,0.5577640413505166,"[361, 361, 361, 361, 361]","[400, 400, 400, 400, 400]","[55, 55, 55, 55, 55]","[51, 51, 51, 51, 51]",
kv_quantization,fp8-fp8_e4m3-2gpu-eager,fp8-bf16-2gpu-eager,complete,0.7492920128718367,"[395, 395, 395, 395, 395]","[425, 425, 425, 425, 425]","[48, 48, 48, 48, 48]","[48, 48, 48, 48, 48]",
kv_quantization,fp8-fp8_e4m3-4gpu-eager,fp8-bf16-4gpu-eager,complete,0.5490517148269946,"[361, 361, 361, 361, 361]","[425, 425, 425, 425, 425]","[55, 55, 55, 55, 55]","[44, 44, 44, 44, 44]",
scaling_2_to_4,fp8-bf16-4gpu-eager,fp8-bf16-2gpu-eager,complete,1.0973011526698058,"[425, 425, 425, 425, 425]","[425, 425, 425, 425, 425]","[44, 44, 44, 44, 44]","[48, 48, 48, 48, 48]",0.5486505763349029
scaling_2_to_4,fp8-fp8_e4m3-4gpu-eager,fp8-fp8_e4m3-2gpu-eager,complete,0.8040591240868405,"[361, 361, 361, 361, 361]","[395, 395, 395, 395, 395]","[55, 55, 55, 55, 55]","[48, 48, 48, 48, 48]",0.4020295620434203
model_quantization,fp8-bf16-4gpu-graph,bf16-bf16-4gpu-graph,complete,1.5339317092293505,"[402, 402, 418, 402, 402]","[399, 399, 399, 399, 399]","[52, 52, 49, 52, 52]","[54, 54, 54, 54, 54]",
joint_quantization,fp8-fp8_e4m3-4gpu-graph,bf16-bf16-4gpu-graph,complete,1.3590736996405788,"[412, 412, 412, 412, 412]","[399, 399, 399, 399, 399]","[47, 47, 47, 47, 47]","[54, 54, 54, 54, 54]",
kv_quantization,fp8-fp8_e4m3-2gpu-graph,fp8-bf16-2gpu-graph,complete,0.7415051360114999,"[395, 395, 395, 395, 395]","[415, 415, 415, 415, 415]","[60, 60, 60, 60, 60]","[52, 52, 52, 52, 52]",
kv_quantization,fp8-fp8_e4m3-4gpu-graph,fp8-bf16-4gpu-graph,complete,0.8860066530102434,"[412, 412, 412, 412, 412]","[402, 402, 418, 402, 402]","[47, 47, 47, 47, 47]","[52, 52, 49, 52, 52]",
scaling_2_to_4,fp8-bf16-4gpu-graph,fp8-bf16-2gpu-graph,complete,1.2430067742511455,"[402, 402, 418, 402, 402]","[415, 415, 415, 415, 415]","[52, 52, 49, 52, 52]","[52, 52, 52, 52, 52]",0.6215033871255727
scaling_2_to_4,fp8-fp8_e4m3-4gpu-graph,fp8-fp8_e4m3-2gpu-graph,complete,1.4852388988796383,"[412, 412, 412, 412, 412]","[395, 395, 395, 395, 395]","[47, 47, 47, 47, 47]","[60, 60, 60, 60, 60]",0.7426194494398192
cuda_graph,bf16-bf16-4gpu-graph,bf16-bf16-4gpu-eager,complete,1.6338162159283174,"[399, 399, 399, 399, 399]","[400, 400, 400, 400, 400]","[54, 54, 54, 54, 54]","[51, 51, 51, 51, 51]",
cuda_graph,fp8-bf16-2gpu-graph,fp8-bf16-2gpu-eager,complete,2.1778316620362683,"[415, 415, 415, 415, 415]","[425, 425, 425, 425, 425]","[52, 52, 52, 52, 52]","[48, 48, 48, 48, 48]",
cuda_graph,fp8-bf16-4gpu-graph,fp8-bf16-4gpu-eager,complete,2.467016007869179,"[402, 402, 418, 402, 402]","[425, 425, 425, 425, 425]","[52, 52, 49, 52, 52]","[44, 44, 44, 44, 44]",
cuda_graph,fp8-fp8_e4m3-2gpu-graph,fp8-fp8_e4m3-2gpu-eager,complete,2.15519895451571,"[395, 395, 395, 395, 395]","[395, 395, 395, 395, 395]","[60, 60, 60, 60, 60]","[48, 48, 48, 48, 48]",
cuda_graph,fp8-fp8_e4m3-4gpu-graph,fp8-fp8_e4m3-4gpu-eager,complete,3.9810322726040543,"[412, 412, 412, 412, 412]","[361, 361, 361, 361, 361]","[47, 47, 47, 47, 47]","[55, 55, 55, 55, 55]",
