weights,kv,gpus,graph,name,valid_runs,status,trial_status,median_tps,mad_tps,per_gpu_tps,tokens,nfe,seconds,tokens_per_forward,forwards_per_second,unique_output_count,output_matches_trial,peak_device_used_bytes,peak_allocated_bytes,basis
bf16,bf16,4,False,bf16-bf16-4gpu-eager,5,complete,passed,181.8286304378151,1.8363469501576617,45.45715760945377,"[400, 400, 400, 400, 400]","[51, 51, 51, 51, 51]","[2.1841166948433965, 2.158976702950895, 2.3288435658905655, 2.2223174918908626, 2.1998735789675266]","[7.8431372549019605, 7.8431372549019605, 7.8431372549019605, 7.8431372549019605, 7.8431372549019605]","[23.35040069992998, 23.622302144480333, 21.899281148365695, 22.949016144676325, 23.183150380821424]",1,"[False, False, False, False, False]","{'0': 61194895360, '1': 61194895360, '2': 61194895360, '3': 61194895360}",58804723200,
bf16,bf16,4,True,bf16-bf16-4gpu-graph,5,complete,passed,297.07456492933954,0.5957317147370418,74.26864123233489,"[399, 399, 399, 399, 399]","[54, 54, 54, 54, 54]","[1.3397350059822202, 1.3430971449706703, 1.3394703511148691, 1.3443463409785181, 1.345795906148851]","[7.388888888888889, 7.388888888888889, 7.388888888888889, 7.388888888888889, 7.388888888888889]","[40.30647834002827, 40.20558021600084, 40.314442163691545, 40.1682203119582, 40.12495487114921]",1,"[True, True, True, True, True]","{'0': 60616081408, '1': 60616081408, '2': 60616081408, '3': 60616081408}",58804723200,
fp8,bf16,2,False,fp8-bf16-2gpu-eager,5,complete,passed,168.33471655148816,1.2733496708549694,84.16735827574408,"[425, 425, 425, 425, 425]","[48, 48, 48, 48, 48]","[2.5057770509738475, 2.5683507611975074, 2.536585550988093, 2.4983423529192805, 2.5247317291796207]","[8.854166666666666, 8.854166666666666, 8.854166666666666, 8.854166666666666, 8.854166666666666]","[19.155734538052872, 18.689036063602053, 18.923075541963186, 19.212739176403357, 19.011920928168074]",1,"[True, True, True, True, True]","{'0': 59403927552, '1': 59403927552}",57158932992,
fp8,bf16,2,True,fp8-bf16-2gpu-graph,5,complete,passed,366.6046755257316,0.31289791623930796,183.3023377628658,"[415, 415, 415, 415, 415]","[52, 52, 52, 52, 52]","[1.132009566994384, 1.1437068660743535, 1.1279032172169536, 1.131581607973203, 1.1329765650443733]","[7.980769230769231, 7.980769230769231, 7.980769230769231, 7.980769230769231, 7.980769230769231]","[45.936007535754314, 45.46619552830369, 46.10324645434337, 45.95338032502858, 45.89680104986409]",1,"[True, True, True, True, True]","{'0': 58858668032, '1': 58858668032}",57158932992,
fp8,bf16,4,False,fp8-bf16-4gpu-eager,5,complete,passed,184.71387850629299,2.0054014683055073,46.178469626573246,"[425, 425, 425, 425, 425]","[44, 44, 44, 44, 44]","[2.288309614174068, 2.300855807028711, 2.2687312581110746, 2.3261099150404334, 2.334288958925754]","[9.659090909090908, 9.659090909090908, 9.659090909090908, 9.659090909090908, 9.659090909090908]","[19.22816725824978, 19.123319186533863, 19.39409960641791, 18.915701152168115, 18.8494230038465]",1,"[True, True, True, True, True]","{'0': 33684455424, '1': 33684455424, '2': 33684455424, '3': 33684455424}",31365913600,
fp8,bf16,4,True,fp8-bf16-4gpu-graph,5,complete,passed,455.6920951506275,1.4033691557266934,113.92302378765687,"[402, 402, 418, 402, 402]","[52, 52, 49, 52, 52]","[0.8811587980017066, 0.8850022950209677, 0.8459182418882847, 0.8821746180765331, 0.8848997938912362]","[7.730769230769231, 7.730769230769231, 8.53061224489796, 7.730769230769231, 7.730769230769231]","[59.01319957075352, 58.75690977588708, 57.92521968863172, 58.94524613888714, 58.763715800335426]",2,"[True, True, False, True, True]","{'0': 33103544320, '1': 33103544320, '2': 33103544320, '3': 33103544320}",31365913600,
fp8,fp8_e4m3,2,False,fp8-fp8_e4m3-2gpu-eager,5,complete,passed,126.13185860107464,0.3099549295928341,63.06592930053732,"[395, 395, 395, 395, 395]","[48, 48, 48, 48, 48]","[3.1316433800384402, 3.102345610037446, 3.1270969919860363, 3.253542444901541, 3.1393580010626465]","[8.229166666666666, 8.229166666666666, 8.229166666666666, 8.229166666666666, 8.229166666666666]","[15.327415728738185, 15.472163979634955, 15.34969977682558, 14.75315008575294, 15.289750319572473]",1,"[True, True, True, True, True]","{'0': 59374567424, '1': 59374567424}",57158932992,
fp8,fp8_e4m3,2,True,fp8-fp8_e4m3-2gpu-graph,5,complete,passed,271.8392497881594,0.5057054177017903,135.9196248940797,"[395, 395, 395, 395, 395]","[60, 60, 60, 60, 60]","[1.4530646339990199, 1.4535897399764508, 1.4636204030830413, 1.4503665019292384, 1.4435186109039932]","[6.583333333333333, 6.583333333333333, 6.583333333333333, 6.583333333333333, 6.583333333333333]","[41.292037942505225, 41.27712128799976, 40.99423585078008, 41.36885395532068, 41.56510317690011]",1,"[False, False, False, False, False]","{'0': 58858668032, '1': 58858668032}",57158932992,
fp8,fp8_e4m3,4,False,fp8-fp8_e4m3-4gpu-eager,5,complete,passed,101.4174717462253,0.7292158950513965,25.354367936556326,"[361, 361, 361, 361, 361]","[55, 55, 55, 55, 55]","[3.5595444629434496, 3.5417891209945083, 3.585323799168691, 3.6036382981110364, 3.527818182017654]","[6.5636363636363635, 6.5636363636363635, 6.5636363636363635, 6.5636363636363635, 6.5636363636363635]","[15.451415362998313, 15.528874848583985, 15.340315988405996, 15.2623530582495, 15.590372621908768]",1,"[True, True, True, True, True]","{'0': 33667678208, '1': 33667678208, '2': 33667678208, '3': 33667678208}",31365913600,
fp8,fp8_e4m3,4,True,fp8-fp8_e4m3-4gpu-graph,5,complete,passed,403.7462280276328,0.32935876907419015,100.9365570069082,"[412, 412, 412, 412, 412]","[47, 47, 47, 47, 47]","[1.021936824079603, 1.0199704009573907, 1.0204429698642343, 1.019611214986071, 1.0224332551006228]","[8.76595744680851, 8.76595744680851, 8.76595744680851, 8.76595744680851, 8.76595744680851]","[45.991101301521326, 46.079768546110415, 46.05842892548238, 46.096001406420456, 45.968770837148185]",1,"[True, True, True, True, True]","{'0': 33103544320, '1': 33103544320, '2': 33103544320, '3': 33103544320}",31365913600,
